Size	Latency (us)	np	Algorithm
1	0.19	2	broadcast_flat
1	0.22	2	broadcast_chain
1	0.20	2	broadcast_binary_tree
1	0.20	2	scatter_flat
1	0.22	2	scatter_basic_binomial
1	0.23	2	scatter_nb
1	0.62	3	broadcast_flat
1	0.88	3	broadcast_chain
1	0.52	3	broadcast_binary_tree
1	0.62	3	scatter_flat
1	0.61	3	scatter_basic_binomial
1	0.63	3	scatter_nb
1	0.30	4	broadcast_flat
1	0.33	4	broadcast_chain
1	0.53	4	broadcast_binary_tree
1	0.33	4	scatter_flat
1	0.46	4	scatter_basic_binomial
1	0.37	4	scatter_nb
1	0.48	5	broadcast_flat
1	0.49	5	broadcast_chain
1	0.63	5	broadcast_binary_tree
1	0.51	5	scatter_flat
1	0.45	5	scatter_basic_binomial
1	0.50	5	scatter_nb
1	0.61	6	broadcast_flat
1	0.69	6	broadcast_chain
1	0.80	6	broadcast_binary_tree
1	0.68	6	scatter_flat
1	0.63	6	scatter_basic_binomial
1	0.65	6	scatter_nb
1	0.69	7	broadcast_flat
1	0.85	7	broadcast_chain
1	0.84	7	broadcast_binary_tree
1	1.17	7	scatter_flat
1	0.81	7	scatter_basic_binomial
1	0.73	7	scatter_nb
1	1.13	8	broadcast_flat
1	0.97	8	broadcast_chain
1	0.97	8	broadcast_binary_tree
1	1.18	8	scatter_flat
1	0.92	8	scatter_basic_binomial
1	1.15	8	scatter_nb
1	1.29	9	broadcast_flat
1	1.50	9	broadcast_chain
1	1.11	9	broadcast_binary_tree
1	1.33	9	scatter_flat
1	1.34	9	scatter_basic_binomial
1	1.52	9	scatter_nb
1	1.41	10	broadcast_flat
1	1.52	10	broadcast_chain
1	1.30	10	broadcast_binary_tree
1	1.48	10	scatter_flat
1	1.09	10	scatter_basic_binomial
1	1.46	10	scatter_nb
1	1.51	11	broadcast_flat
1	2.06	11	broadcast_chain
1	1.46	11	broadcast_binary_tree
1	1.37	11	scatter_flat
1	0.99	11	scatter_basic_binomial
1	1.29	11	scatter_nb
1	1.41	12	broadcast_flat
1	1.66	12	broadcast_chain
1	1.48	12	broadcast_binary_tree
1	1.49	12	scatter_flat
1	0.92	12	scatter_basic_binomial
1	1.89	12	scatter_nb
1	1.24	13	broadcast_flat
1	1.57	13	broadcast_chain
1	1.29	13	broadcast_binary_tree
1	1.14	13	scatter_flat
1	1.45	13	scatter_basic_binomial
1	1.14	13	scatter_nb
1	1.53	14	broadcast_flat
1	1.41	14	broadcast_chain
1	1.57	14	broadcast_binary_tree
1	1.39	14	scatter_flat
1	1.03	14	scatter_basic_binomial
1	1.33	14	scatter_nb
1	1.25	15	broadcast_flat
1	1.56	15	broadcast_chain
1	1.56	15	broadcast_binary_tree
1	1.28	15	scatter_flat
1	1.05	15	scatter_basic_binomial
1	1.76	15	scatter_nb
1	2.28	16	broadcast_flat
1	2.13	16	broadcast_chain
1	1.70	16	broadcast_binary_tree
1	2.17	16	scatter_flat
1	2.05	16	scatter_basic_binomial
1	2.35	16	scatter_nb
1	3.90	17	broadcast_flat
1	3.79	17	broadcast_chain
1	3.29	17	broadcast_binary_tree
1	3.87	17	scatter_flat
1	3.50	17	scatter_basic_binomial
1	4.04	17	scatter_nb
1	3.97	18	broadcast_flat
1	3.56	18	broadcast_chain
1	3.31	18	broadcast_binary_tree
1	3.92	18	scatter_flat
1	3.33	18	scatter_basic_binomial
1	4.38	18	scatter_nb
1	3.63	19	broadcast_flat
1	3.49	19	broadcast_chain
1	3.16	19	broadcast_binary_tree
1	3.62	19	scatter_flat
1	3.34	19	scatter_basic_binomial
1	3.58	19	scatter_nb
1	3.46	20	broadcast_flat
1	3.67	20	broadcast_chain
1	3.02	20	broadcast_binary_tree
1	3.66	20	scatter_flat
1	3.03	20	scatter_basic_binomial
1	3.66	20	scatter_nb
1	3.46	21	broadcast_flat
1	3.55	21	broadcast_chain
1	2.86	21	broadcast_binary_tree
1	3.83	21	scatter_flat
1	2.61	21	scatter_basic_binomial
1	3.52	21	scatter_nb
1	3.53	22	broadcast_flat
1	3.18	22	broadcast_chain
1	3.02	22	broadcast_binary_tree
1	4.14	22	scatter_flat
1	2.65	22	scatter_basic_binomial
1	3.57	22	scatter_nb
1	3.28	23	broadcast_flat
1	3.13	23	broadcast_chain
1	3.00	23	broadcast_binary_tree
1	4.07	23	scatter_flat
1	2.74	23	scatter_basic_binomial
1	3.75	23	scatter_nb
1	3.54	24	broadcast_flat
1	3.23	24	broadcast_chain
1	2.66	24	broadcast_binary_tree
1	3.65	24	scatter_flat
1	2.62	24	scatter_basic_binomial
1	3.46	24	scatter_nb
