Size	Latency (us)	np	Algorithm
2	0.17	2	broadcast_flat
4	0.15	2	broadcast_flat
8	0.15	2	broadcast_flat
16	0.15	2	broadcast_flat
32	0.16	2	broadcast_flat
64	0.16	2	broadcast_flat
128	0.27	2	broadcast_flat
256	0.27	2	broadcast_flat
512	0.29	2	broadcast_flat
1024	0.27	2	broadcast_flat
2048	0.33	2	broadcast_flat
4096	0.44	2	broadcast_flat
8192	0.61	2	broadcast_flat
16384	5.57	2	broadcast_flat
32768	6.27	2	broadcast_flat
65536	7.66	2	broadcast_flat
131072	10.49	2	broadcast_flat
262144	21.53	2	broadcast_flat
524288	46.53	2	broadcast_flat
1048576	83.74	2	broadcast_flat
2	0.16	2	broadcast_chain
4	0.16	2	broadcast_chain
8	0.15	2	broadcast_chain
16	0.15	2	broadcast_chain
32	0.15	2	broadcast_chain
64	0.26	2	broadcast_chain
128	0.27	2	broadcast_chain
256	0.28	2	broadcast_chain
512	0.25	2	broadcast_chain
1024	0.28	2	broadcast_chain
2048	0.35	2	broadcast_chain
4096	0.46	2	broadcast_chain
8192	0.62	2	broadcast_chain
16384	5.48	2	broadcast_chain
32768	6.16	2	broadcast_chain
65536	7.97	2	broadcast_chain
131072	10.45	2	broadcast_chain
262144	20.92	2	broadcast_chain
524288	45.46	2	broadcast_chain
1048576	86.97	2	broadcast_chain
2	0.17	2	broadcast_binary_tree
4	0.16	2	broadcast_binary_tree
8	0.15	2	broadcast_binary_tree
16	0.15	2	broadcast_binary_tree
32	0.15	2	broadcast_binary_tree
64	0.15	2	broadcast_binary_tree
128	0.26	2	broadcast_binary_tree
256	0.25	2	broadcast_binary_tree
512	0.23	2	broadcast_binary_tree
1024	0.27	2	broadcast_binary_tree
2048	0.34	2	broadcast_binary_tree
4096	0.45	2	broadcast_binary_tree
8192	0.64	2	broadcast_binary_tree
16384	5.57	2	broadcast_binary_tree
32768	6.15	2	broadcast_binary_tree
65536	7.51	2	broadcast_binary_tree
131072	10.89	2	broadcast_binary_tree
262144	22.29	2	broadcast_binary_tree
524288	47.42	2	broadcast_binary_tree
1048576	88.36	2	broadcast_binary_tree
2	0.16	2	scatter_flat
4	0.15	2	scatter_flat
8	0.15	2	scatter_flat
16	0.15	2	scatter_flat
32	0.15	2	scatter_flat
64	0.15	2	scatter_flat
128	0.27	2	scatter_flat
256	0.25	2	scatter_flat
512	0.25	2	scatter_flat
1024	0.3	2	scatter_flat
2048	0.34	2	scatter_flat
4096	0.46	2	scatter_flat
8192	0.6	2	scatter_flat
16384	5.41	2	scatter_flat
32768	6.08	2	scatter_flat
65536	7.51	2	scatter_flat
131072	10.41	2	scatter_flat
262144	21.8	2	scatter_flat
524288	45.35	2	scatter_flat
1048576	84.98	2	scatter_flat
2	0.14	2	scatter_basic_linear
4	0.14	2	scatter_basic_linear
8	0.14	2	scatter_basic_linear
16	0.14	2	scatter_basic_linear
32	0.14	2	scatter_basic_linear
64	0.14	2	scatter_basic_linear
128	0.27	2	scatter_basic_linear
256	0.25	2	scatter_basic_linear
512	0.25	2	scatter_basic_linear
1024	0.28	2	scatter_basic_linear
2048	0.33	2	scatter_basic_linear
4096	0.46	2	scatter_basic_linear
8192	0.62	2	scatter_basic_linear
16384	5.71	2	scatter_basic_linear
32768	6.44	2	scatter_basic_linear
65536	7.67	2	scatter_basic_linear
131072	11.49	2	scatter_basic_linear
262144	22.13	2	scatter_basic_linear
524288	45.35	2	scatter_basic_linear
1048576	88.23	2	scatter_basic_linear
2	0.16	2	scatter_binomial
4	0.15	2	scatter_binomial
8	0.15	2	scatter_binomial
16	0.15	2	scatter_binomial
32	0.16	2	scatter_binomial
64	0.16	2	scatter_binomial
128	0.28	2	scatter_binomial
256	0.27	2	scatter_binomial
512	0.27	2	scatter_binomial
1024	0.31	2	scatter_binomial
2048	0.39	2	scatter_binomial
4096	0.5	2	scatter_binomial
8192	0.61	2	scatter_binomial
16384	5.4	2	scatter_binomial
32768	6.16	2	scatter_binomial
65536	7.61	2	scatter_binomial
131072	10.67	2	scatter_binomial
262144	21.9	2	scatter_binomial
524288	45.75	2	scatter_binomial
1048576	86.06	2	scatter_binomial
2	0.59	4	broadcast_flat
4	0.57	4	broadcast_flat
8	0.57	4	broadcast_flat
16	0.57	4	broadcast_flat
32	0.67	4	broadcast_flat
64	0.67	4	broadcast_flat
128	1.03	4	broadcast_flat
256	1.06	4	broadcast_flat
512	1.08	4	broadcast_flat
1024	1.28	4	broadcast_flat
2048	2.04	4	broadcast_flat
4096	2.77	4	broadcast_flat
