Size	Latency (us)	np	Algorithm
8	0.81	3	broadcast_flat
16	0.8	3	broadcast_flat
32	0.75	3	broadcast_flat
64	0.73	3	broadcast_flat
128	1.1	3	broadcast_flat
256	1.51	3	broadcast_flat
512	1.34	3	broadcast_flat
1024	1.61	3	broadcast_flat
2048	2.09	3	broadcast_flat
4096	2.98	3	broadcast_flat
8192	4.57	3	broadcast_flat
16384	6.59	3	broadcast_flat
32768	10.91	3	broadcast_flat
65536	15.56	3	broadcast_flat
131072	46.53	3	broadcast_flat
262144	38.3	3	broadcast_flat
524288	70.53	3	broadcast_flat
1048576	154.86	3	broadcast_flat
2097152	273.72	3	broadcast_flat
4194304	561.33	3	broadcast_flat
8	0.61	3	broadcast_chain
16	0.6	3	broadcast_chain
32	0.7	3	broadcast_chain
64	0.74	3	broadcast_chain
128	1.14	3	broadcast_chain
256	1.17	3	broadcast_chain
512	1.33	3	broadcast_chain
1024	1.58	3	broadcast_chain
2048	2.08	3	broadcast_chain
4096	2.93	3	broadcast_chain
8192	4.51	3	broadcast_chain
16384	6.74	3	broadcast_chain
32768	10.88	3	broadcast_chain
65536	14.5	3	broadcast_chain
131072	23.17	3	broadcast_chain
262144	44.95	3	broadcast_chain
524288	82.78	3	broadcast_chain
1048576	172.09	3	broadcast_chain
2097152	327.78	3	broadcast_chain
4194304	664.49	3	broadcast_chain
8	0.63	3	broadcast_binary_tree
16	0.62	3	broadcast_binary_tree
32	0.75	3	broadcast_binary_tree
64	0.73	3	broadcast_binary_tree
128	1.12	3	broadcast_binary_tree
256	1.16	3	broadcast_binary_tree
512	1.34	3	broadcast_binary_tree
1024	1.59	3	broadcast_binary_tree
2048	2.11	3	broadcast_binary_tree
4096	2.97	3	broadcast_binary_tree
8192	4.54	3	broadcast_binary_tree
16384	6.2	3	broadcast_binary_tree
32768	10.0	3	broadcast_binary_tree
65536	13.59	3	broadcast_binary_tree
131072	22.38	3	broadcast_binary_tree
262144	43.15	3	broadcast_binary_tree
524288	78.64	3	broadcast_binary_tree
1048576	163.15	3	broadcast_binary_tree
2097152	320.23	3	broadcast_binary_tree
4194304	641.89	3	broadcast_binary_tree
8	0.57	3	scatter_flat
16	0.58	3	scatter_flat
32	0.72	3	scatter_flat
64	0.7	3	scatter_flat
128	1.08	3	scatter_flat
256	1.12	3	scatter_flat
512	1.36	3	scatter_flat
1024	1.58	3	scatter_flat
2048	2.08	3	scatter_flat
4096	2.99	3	scatter_flat
8192	4.76	3	scatter_flat
16384	8.13	3	scatter_flat
32768	15.21	3	scatter_flat
65536	29.15	3	scatter_flat
131072	24.03	3	scatter_flat
262144	41.27	3	scatter_flat
524288	78.26	3	scatter_flat
1048576	201.06	3	scatter_flat
2097152	438.38	3	scatter_flat
4194304	1104.87	3	scatter_flat
8	0.62	3	scatter_binomial
16	0.63	3	scatter_binomial
32	0.72	3	scatter_binomial
64	0.72	3	scatter_binomial
128	1.15	3	scatter_binomial
256	1.28	3	scatter_binomial
512	1.42	3	scatter_binomial
1024	1.62	3	scatter_binomial
2048	2.15	3	scatter_binomial
4096	3.07	3	scatter_binomial
8192	4.82	3	scatter_binomial
16384	8.34	3	scatter_binomial
32768	15.41	3	scatter_binomial
65536	29.49	3	scatter_binomial
131072	57.51	3	scatter_binomial
262144	42.77	3	scatter_binomial
524288	80.1	3	scatter_binomial
1048576	187.18	3	scatter_binomial
2097152	454.59	3	scatter_binomial
4194304	1092.73	3	scatter_binomial
8	0.63	3	scatter_nb
16	0.63	3	scatter_nb
32	0.72	3	scatter_nb
64	0.7	3	scatter_nb
128	1.02	3	scatter_nb
256	1.07	3	scatter_nb
512	1.17	3	scatter_nb
1024	1.33	3	scatter_nb
2048	1.73	3	scatter_nb
4096	2.51	3	scatter_nb
8192	4.1	3	scatter_nb
16384	7.21	3	scatter_nb
32768	13.46	3	scatter_nb
65536	25.68	3	scatter_nb
131072	49.71	3	scatter_nb
262144	44.23	3	scatter_nb
524288	93.22	3	scatter_nb
1048576	250.41	3	scatter_nb
2097152	584.93	3	scatter_nb
4194304	1341.3	3	scatter_nb
8	0.81	6	broadcast_flat
16	0.82	6	broadcast_flat
32	0.95	6	broadcast_flat
64	0.94	6	broadcast_flat
128	1.51	6	broadcast_flat
256	1.54	6	broadcast_flat
512	1.73	6	broadcast_flat
1024	2.08	6	broadcast_flat
2048	3.04	6	broadcast_flat
4096	4.13	6	broadcast_flat
8192	8.13	6	broadcast_flat
16384	10.94	6	broadcast_flat
32768	18.94	6	broadcast_flat
65536	34.87	6	broadcast_flat
131072	68.31	6	broadcast_flat
262144	137.53	6	broadcast_flat
524288	279.34	6	broadcast_flat
1048576	877.85	6	broadcast_flat
2097152	1736.65	6	broadcast_flat
4194304	3603.35	6	broadcast_flat
8	0.68	6	broadcast_chain
16	0.67	6	broadcast_chain
32	0.88	6	broadcast_chain
64	0.89	6	broadcast_chain
128	1.75	6	broadcast_chain
256	1.8	6	broadcast_chain
512	2.07	6	broadcast_chain
1024	2.59	6	broadcast_chain
2048	3.57	6	broadcast_chain
4096	5.2	6	broadcast_chain
8192	8.29	6	broadcast_chain
16384	12.57	6	broadcast_chain
32768	19.52	6	broadcast_chain
65536	35.79	6	broadcast_chain
131072	69.81	6	broadcast_chain
262144	171.98	6	broadcast_chain
524288	312.09	6	broadcast_chain
1048576	481.81	6	broadcast_chain
2097152	828.38	6	broadcast_chain
4194304	1569.02	6	broadcast_chain
8	0.82	6	broadcast_binary_tree
16	0.82	6	broadcast_binary_tree
32	0.96	6	broadcast_binary_tree
64	1.0	6	broadcast_binary_tree
128	1.53	6	broadcast_binary_tree
256	1.57	6	broadcast_binary_tree
512	1.74	6	broadcast_binary_tree
1024	2.12	6	broadcast_binary_tree
2048	3.07	6	broadcast_binary_tree
4096	4.18	6	broadcast_binary_tree
8192	6.41	6	broadcast_binary_tree
16384	11.64	6	broadcast_binary_tree
32768	17.36	6	broadcast_binary_tree
65536	29.14	6	broadcast_binary_tree
131072	50.4	6	broadcast_binary_tree
262144	92.38	6	broadcast_binary_tree
524288	178.0	6	broadcast_binary_tree
1048576	352.51	6	broadcast_binary_tree
2097152	643.71	6	broadcast_binary_tree
4194304	1228.03	6	broadcast_binary_tree
8	0.61	6	scatter_flat
16	0.64	6	scatter_flat
32	0.67	6	scatter_flat
64	0.83	6	scatter_flat
128	1.24	6	scatter_flat
256	1.27	6	scatter_flat
512	1.49	6	scatter_flat
1024	2.07	6	scatter_flat
2048	3.44	6	scatter_flat
4096	4.62	6	scatter_flat
8192	8.15	6	scatter_flat
16384	14.67	6	scatter_flat
32768	15.18	6	scatter_flat
65536	29.61	6	scatter_flat
131072	61.64	6	scatter_flat
262144	123.97	6	scatter_flat
524288	184.31	6	scatter_flat
1048576	348.68	6	scatter_flat
2097152	831.41	6	scatter_flat
4194304	2769.19	6	scatter_flat
8	0.65	6	scatter_binomial
16	0.64	6	scatter_binomial
32	0.72	6	scatter_binomial
64	0.7	6	scatter_binomial
128	1.63	6	scatter_binomial
256	1.67	6	scatter_binomial
512	1.89	6	scatter_binomial
1024	2.32	6	scatter_binomial
2048	3.45	6	scatter_binomial
4096	5.15	6	scatter_binomial
8192	8.17	6	scatter_binomial
16384	14.67	6	scatter_binomial
32768	27.84	6	scatter_binomial
65536	54.27	6	scatter_binomial
131072	115.09	6	scatter_binomial
262144	64.83	6	scatter_binomial
524288	136.57	6	scatter_binomial
1048576	349.04	6	scatter_binomial
2097152	865.47	6	scatter_binomial
4194304	2768.02	6	scatter_binomial
8	0.61	6	scatter_nb
16	0.65	6	scatter_nb
32	0.66	6	scatter_nb
64	0.82	6	scatter_nb
128	1.22	6	scatter_nb
256	1.39	6	scatter_nb
512	1.55	6	scatter_nb
1024	2.17	6	scatter_nb
2048	3.15	6	scatter_nb
4096	4.83	6	scatter_nb
8192	7.88	6	scatter_nb
16384	13.99	6	scatter_nb
32768	25.93	6	scatter_nb
65536	49.64	6	scatter_nb
131072	76.56	6	scatter_nb
262144	215.79	6	scatter_nb
524288	393.49	6	scatter_nb
1048576	932.69	6	scatter_nb
2097152	2134.25	6	scatter_nb
4194304	4970.2	6	scatter_nb
8	1.48	12	broadcast_flat
16	1.39	12	broadcast_flat
32	1.52	12	broadcast_flat
64	1.18	12	broadcast_flat
128	2.02	12	broadcast_flat
256	2.06	12	broadcast_flat
512	2.28	12	broadcast_flat
1024	2.83	12	broadcast_flat
2048	3.72	12	broadcast_flat
4096	5.47	12	broadcast_flat
8192	8.3	12	broadcast_flat
16384	15.82	12	broadcast_flat
32768	32.22	12	broadcast_flat
65536	64.9	12	broadcast_flat
131072	134.09	12	broadcast_flat
262144	258.63	12	broadcast_flat
524288	517.76	12	broadcast_flat
1048576	903.26	12	broadcast_flat
2097152	1467.27	12	broadcast_flat
4194304	2866.85	12	broadcast_flat
8	1.56	12	broadcast_chain
16	1.57	12	broadcast_chain
32	2.06	12	broadcast_chain
64	1.86	12	broadcast_chain
128	3.0	12	broadcast_chain
256	3.12	12	broadcast_chain
512	3.44	12	broadcast_chain
1024	4.38	12	broadcast_chain
2048	5.62	12	broadcast_chain
4096	7.86	12	broadcast_chain
8192	12.11	12	broadcast_chain
16384	22.25	12	broadcast_chain
32768	37.2	12	broadcast_chain
65536	68.25	12	broadcast_chain
131072	131.3	12	broadcast_chain
262144	254.35	12	broadcast_chain
524288	495.11	12	broadcast_chain
1048576	917.33	12	broadcast_chain
2097152	1667.87	12	broadcast_chain
4194304	3204.29	12	broadcast_chain
8	1.49	12	broadcast_binary_tree
16	1.4	12	broadcast_binary_tree
32	1.66	12	broadcast_binary_tree
64	1.51	12	broadcast_binary_tree
128	2.14	12	broadcast_binary_tree
256	2.15	12	broadcast_binary_tree
512	2.42	12	broadcast_binary_tree
1024	2.93	12	broadcast_binary_tree
2048	3.97	12	broadcast_binary_tree
4096	5.47	12	broadcast_binary_tree
8192	8.32	12	broadcast_binary_tree
16384	16.97	12	broadcast_binary_tree
32768	25.41	12	broadcast_binary_tree
65536	42.01	12	broadcast_binary_tree
131072	74.03	12	broadcast_binary_tree
262144	136.2	12	broadcast_binary_tree
524288	264.26	12	broadcast_binary_tree
1048576	482.3	12	broadcast_binary_tree
2097152	928.86	12	broadcast_binary_tree
4194304	2436.37	12	broadcast_binary_tree
8	1.08	12	scatter_flat
16	1.1	12	scatter_flat
32	1.36	12	scatter_flat
64	1.5	12	scatter_flat
128	1.9	12	scatter_flat
256	2.12	12	scatter_flat
512	2.61	12	scatter_flat
1024	3.57	12	scatter_flat
2048	5.24	12	scatter_flat
4096	8.0	12	scatter_flat
8192	13.32	12	scatter_flat
16384	13.8	12	scatter_flat
32768	24.11	12	scatter_flat
65536	52.67	12	scatter_flat
131072	144.12	12	scatter_flat
262144	134.07	12	scatter_flat
524288	237.47	12	scatter_flat
1048576	629.13	12	scatter_flat
2097152	2249.21	12	scatter_flat
4194304	6424.25	12	scatter_flat
8	1.48	12	scatter_binomial
16	1.49	12	scatter_binomial
32	1.67	12	scatter_binomial
64	1.6	12	scatter_binomial
128	3.26	12	scatter_binomial
256	3.36	12	scatter_binomial
512	3.79	12	scatter_binomial
1024	5.21	12	scatter_binomial
2048	6.57	12	scatter_binomial
4096	9.29	12	scatter_binomial
8192	14.19	12	scatter_binomial
16384	26.07	12	scatter_binomial
32768	49.37	12	scatter_binomial
65536	98.12	12	scatter_binomial
131072	194.45	12	scatter_binomial
262144	127.59	12	scatter_binomial
524288	264.11	12	scatter_binomial
1048576	659.27	12	scatter_binomial
2097152	2225.9	12	scatter_binomial
4194304	6417.62	12	scatter_binomial
8	1.14	12	scatter_nb
16	1.16	12	scatter_nb
32	1.39	12	scatter_nb
64	1.52	12	scatter_nb
128	1.93	12	scatter_nb
