Size	Latency (us)	np	Algorithm
8	0.75	3	broadcast_flat
16	0.76	3	broadcast_flat
32	0.70	3	broadcast_flat
64	0.72	3	broadcast_flat
128	1.10	3	broadcast_flat
256	1.47	3	broadcast_flat
512	1.30	3	broadcast_flat
1024	1.59	3	broadcast_flat
2048	2.07	3	broadcast_flat
4096	2.96	3	broadcast_flat
8192	4.55	3	broadcast_flat
16384	6.91	3	broadcast_flat
32768	11.31	3	broadcast_flat
65536	15.75	3	broadcast_flat
131072	47.30	3	broadcast_flat
262144	38.53	3	broadcast_flat
524288	70.60	3	broadcast_flat
1048576	138.83	3	broadcast_flat
2097152	274.77	3	broadcast_flat
4194304	544.64	3	broadcast_flat
8	0.63	3	broadcast_chain
16	0.63	3	broadcast_chain
32	0.74	3	broadcast_chain
64	0.74	3	broadcast_chain
128	1.15	3	broadcast_chain
256	1.17	3	broadcast_chain
512	1.32	3	broadcast_chain
1024	1.55	3	broadcast_chain
2048	2.13	3	broadcast_chain
4096	2.99	3	broadcast_chain
8192	4.54	3	broadcast_chain
16384	6.58	3	broadcast_chain
32768	10.53	3	broadcast_chain
65536	15.12	3	broadcast_chain
131072	24.80	3	broadcast_chain
262144	42.76	3	broadcast_chain
524288	79.07	3	broadcast_chain
1048576	162.46	3	broadcast_chain
2097152	324.29	3	broadcast_chain
4194304	637.14	3	broadcast_chain
8	0.57	3	broadcast_binary_tree
16	0.57	3	broadcast_binary_tree
32	0.75	3	broadcast_binary_tree
64	0.74	3	broadcast_binary_tree
128	1.14	3	broadcast_binary_tree
256	1.21	3	broadcast_binary_tree
512	1.33	3	broadcast_binary_tree
1024	1.60	3	broadcast_binary_tree
2048	2.11	3	broadcast_binary_tree
4096	2.98	3	broadcast_binary_tree
8192	4.53	3	broadcast_binary_tree
16384	6.37	3	broadcast_binary_tree
32768	10.83	3	broadcast_binary_tree
65536	15.17	3	broadcast_binary_tree
131072	23.33	3	broadcast_binary_tree
262144	38.60	3	broadcast_binary_tree
524288	71.34	3	broadcast_binary_tree
1048576	144.46	3	broadcast_binary_tree
2097152	275.71	3	broadcast_binary_tree
4194304	569.10	3	broadcast_binary_tree
8	0.64	3	scatter_flat
16	0.64	3	scatter_flat
32	0.79	3	scatter_flat
64	0.77	3	scatter_flat
128	1.16	3	scatter_flat
256	1.21	3	scatter_flat
512	1.41	3	scatter_flat
1024	1.63	3	scatter_flat
2048	2.11	3	scatter_flat
4096	3.00	3	scatter_flat
8192	4.75	3	scatter_flat
16384	8.04	3	scatter_flat
32768	15.11	3	scatter_flat
65536	28.86	3	scatter_flat
131072	23.95	3	scatter_flat
262144	40.45	3	scatter_flat
524288	75.84	3	scatter_flat
1048576	192.89	3	scatter_flat
2097152	452.83	3	scatter_flat
4194304	982.78	3	scatter_flat
8	0.64	3	scatter_basic_linear
16	0.63	3	scatter_basic_linear
32	0.72	3	scatter_basic_linear
64	0.72	3	scatter_basic_linear
128	1.13	3	scatter_basic_linear
256	1.18	3	scatter_basic_linear
512	1.38	3	scatter_basic_linear
1024	1.58	3	scatter_basic_linear
2048	2.12	3	scatter_basic_linear
4096	3.05	3	scatter_basic_linear
8192	4.80	3	scatter_basic_linear
16384	8.14	3	scatter_basic_linear
32768	15.19	3	scatter_basic_linear
65536	29.00	3	scatter_basic_linear
131072	56.59	3	scatter_basic_linear
262144	40.67	3	scatter_basic_linear
524288	75.99	3	scatter_basic_linear
1048576	170.78	3	scatter_basic_linear
2097152	450.46	3	scatter_basic_linear
4194304	970.33	3	scatter_basic_linear
8	0.62	3	scatter_binomial
16	0.61	3	scatter_binomial
32	0.70	3	scatter_binomial
64	0.71	3	scatter_binomial
128	1.04	3	scatter_binomial
256	1.08	3	scatter_binomial
512	1.18	3	scatter_binomial
1024	1.34	3	scatter_binomial
2048	1.72	3	scatter_binomial
4096	2.50	3	scatter_binomial
8192	4.07	3	scatter_binomial
16384	7.08	3	scatter_binomial
32768	13.23	3	scatter_binomial
65536	25.05	3	scatter_binomial
131072	48.76	3	scatter_binomial
262144	43.49	3	scatter_binomial
524288	85.94	3	scatter_binomial
1048576	239.98	3	scatter_binomial
2097152	586.30	3	scatter_binomial
4194304	1261.99	3	scatter_binomial
8	0.91	6	broadcast_flat
16	0.89	6	broadcast_flat
32	1.04	6	broadcast_flat
64	1.01	6	broadcast_flat
128	1.59	6	broadcast_flat
256	1.65	6	broadcast_flat
512	1.82	6	broadcast_flat
1024	2.14	6	broadcast_flat
2048	3.06	6	broadcast_flat
