Size	Latency (us)	np	Algorithm
1	0.19	2	broadcast_flat
1	0.22	2	broadcast_chain
1	0.21	2	broadcast_binary_tree
1	0.20	2	scatter_flat
1	0.22	2	scatter_basic_binomial
1	0.22	2	scatter_nb
1	0.40	3	broadcast_chain
1	0.40	3	broadcast_binary_tree
1	0.40	3	scatter_flat
1	0.51	3	scatter_basic_binomial
1	0.41	3	scatter_nb
1	0.28	4	broadcast_flat
1	0.21	4	broadcast_chain
1	0.21	4	scatter_flat
1	0.35	4	scatter_basic_binomial
1	0.22	4	scatter_nb
1	0.27	5	broadcast_flat
1	0.28	5	broadcast_chain
1	0.42	5	broadcast_binary_tree
1	0.28	5	scatter_flat
1	0.38	5	scatter_basic_binomial
1	0.29	5	scatter_nb
1	0.30	6	broadcast_flat
1	0.36	6	broadcast_chain
1	0.49	6	broadcast_binary_tree
1	0.32	6	scatter_flat
1	0.49	6	scatter_basic_binomial
1	0.34	6	scatter_nb
1	0.36	7	broadcast_flat
1	0.44	7	broadcast_chain
1	0.56	7	broadcast_binary_tree
1	0.40	7	scatter_flat
1	0.66	7	scatter_basic_binomial
1	0.39	7	scatter_nb
1	0.66	8	broadcast_flat
1	0.58	8	broadcast_chain
1	0.68	8	broadcast_binary_tree
1	0.68	8	scatter_flat
1	0.71	8	scatter_basic_binomial
1	0.68	8	scatter_nb
1	0.80	9	broadcast_flat
1	0.95	9	broadcast_chain
1	0.92	9	broadcast_binary_tree
1	0.87	9	scatter_flat
1	1.17	9	scatter_basic_binomial
1	0.89	9	scatter_nb
1	0.91	10	broadcast_flat
1	0.86	10	broadcast_chain
1	0.90	10	broadcast_binary_tree
1	0.95	10	scatter_flat
1	1.01	10	scatter_basic_binomial
1	0.91	10	scatter_nb
1	0.92	11	broadcast_flat
1	2.01	11	broadcast_chain
1	2.12	11	broadcast_binary_tree
1	0.92	11	scatter_flat
1	1.03	11	scatter_basic_binomial
1	0.85	11	scatter_nb
1	0.81	12	broadcast_flat
1	0.98	12	broadcast_chain
1	1.53	12	broadcast_binary_tree
1	0.98	12	scatter_flat
1	1.07	12	scatter_basic_binomial
1	0.91	12	scatter_nb
1	0.88	13	broadcast_flat
1	1.55	13	broadcast_chain
1	2.09	13	broadcast_binary_tree
1	1.05	13	scatter_flat
1	0.91	13	scatter_basic_binomial
1	0.92	13	scatter_nb
1	0.94	14	broadcast_flat
1	0.92	14	broadcast_chain
1	0.91	14	broadcast_binary_tree
1	0.90	14	scatter_flat
1	1.27	14	scatter_basic_binomial
1	1.66	14	scatter_nb
