# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.33
256                     0.37
512                     0.44
1024                    0.55
2048                    0.76
4096                    1.23
8192                    2.06
16384                   3.13
32768                   4.97
65536                   8.45
131072                 15.01
262144                 16.26
524288                 29.30
1048576                62.58
2097152               153.88
4194304               330.52
1                       0.20
2                       0.18
4                       0.18
8                       0.18
16                      0.18
32                      0.23
64                      0.22
128                     0.33
256                     0.37
512                     0.45
1024                    0.55
2048                    0.76
4096                    1.21
8192                    2.05
16384                   3.11
32768                   5.10
65536                   8.45
131072                 15.18
262144                 16.26
524288                 29.63
1048576                62.63
2097152               155.77
4194304               340.04
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.34
256                     0.39
512                     0.44
1024                    0.55
2048                    0.77
4096                    1.21
8192                    2.05
16384                   3.12
32768                   4.99
65536                   8.44
131072                 15.05
262144                 16.32
524288                 29.62
1048576                62.96
2097152               154.63
4194304               334.77
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.21
32                      0.23
64                      0.23
128                     0.34
256                     0.39
512                     0.44
1024                    0.57
2048                    0.76
4096                    1.21
8192                    2.07
16384                   3.13
32768                   4.96
65536                   8.45
131072                 15.09
262144                 16.32
524288                 29.52
1048576                61.85
2097152               153.59
4194304               339.75
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.33
256                     0.37
512                     0.44
1024                    0.55
2048                    0.76
4096                    1.21
8192                    2.08
16384                   3.14
32768                   4.99
65536                   8.45
131072                 15.05
262144                 16.11
524288                 29.52
1048576                62.65
2097152               157.70
4194304               334.55
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.35
256                     0.40
512                     0.44
1024                    0.57
2048                    0.76
4096                    1.22
8192                    2.06
16384                   3.13
32768                   4.96
65536                   8.44
131072                 15.01
262144                 16.15
524288                 29.82
1048576                61.05
2097152               156.46
4194304               336.70
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.33
256                     0.37
512                     0.43
1024                    0.55
2048                    0.76
4096                    1.21
8192                    2.05
16384                   3.13
32768                   4.98
65536                   8.45
131072                 15.18
262144                 16.38
524288                 29.40
1048576                63.02
2097152               156.41
4194304               337.94
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.34
256                     0.37
512                     0.43
1024                    0.54
2048                    0.76
4096                    1.21
8192                    2.07
16384                   3.13
32768                   4.98
65536                   8.49
131072                 15.19
262144                 16.08
524288                 29.37
1048576                61.27
2097152               156.18
4194304               339.49
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.33
256                     0.37
512                     0.44
1024                    0.55
2048                    0.76
4096                    1.21
8192                    2.05
16384                   3.13
32768                   4.97
65536                   8.41
131072                 15.00
262144                 16.33
524288                 29.62
1048576                63.60
2097152               155.12
4194304               340.47
1                       0.19
2                       0.19
4                       0.19
8                       0.19
16                      0.19
32                      0.24
64                      0.23
128                     0.32
256                     0.36
512                     0.42
1024                    0.55
2048                    0.76
4096                    1.21
8192                    2.06
16384                   3.12
32768                   4.96
65536                   8.43
131072                 15.03
262144                 16.09
524288                 31.55
1048576                64.64
2097152               152.59
4194304               340.47
