# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.01
2                       1.00
4                       1.00
8                       1.01
16                      1.01
32                      1.04
64                      1.15
128                     1.18
256                     1.51
512                     1.50
1024                    1.67
2048                    2.39
4096                    3.33
8192                    4.70
16384                   6.48
32768                   9.28
65536                  12.49
131072                 19.42
262144                 32.08
524288                 54.25
1048576                97.90
2097152               182.14
4194304               353.67
1                       1.01
2                       1.01
4                       1.01
8                       1.01
16                      1.01
32                      1.04
64                      1.15
128                     1.18
256                     1.51
512                     1.52
1024                    1.67
2048                    2.38
4096                    3.32
8192                    4.72
16384                   6.46
32768                   8.60
65536                  12.49
131072                 20.16
262144                 32.09
524288                 54.26
1048576                98.00
2097152               182.40
4194304               353.74
1                       1.01
2                       1.01
4                       1.01
8                       1.01
16                      1.01
32                      1.04
64                      1.15
128                     1.19
256                     1.51
512                     1.50
1024                    1.67
2048                    2.37
4096                    3.34
8192                    4.69
16384                   6.48
32768                   8.58
65536                  12.49
131072                 20.17
262144                 32.08
524288                 54.33
1048576                97.89
2097152               182.53
4194304               353.33
1                       1.01
2                       1.01
4                       1.00
8                       1.01
16                      1.02
32                      1.03
64                      1.15
128                     1.18
256                     1.51
512                     1.50
1024                    1.68
2048                    2.37
4096                    3.33
8192                    4.71
16384                   6.51
32768                   8.58
65536                  12.52
131072                 20.19
262144                 32.14
524288                 55.98
1048576                98.06
2097152               182.50
4194304               353.45
1                       1.02
2                       1.01
4                       1.01
8                       1.01
16                      1.01
32                      1.04
64                      1.15
128                     1.18
256                     1.43
512                     1.48
1024                    1.67
2048                    2.37
4096                    3.33
8192                    4.69
16384                   6.46
32768                   8.58
65536                  12.48
131072                 19.51
262144                 32.08
524288                 56.29
1048576                97.21
2097152               182.60
4194304               353.07
1                       1.01
2                       1.01
4                       1.00
8                       1.01
16                      1.01
32                      1.05
64                      1.16
128                     1.18
256                     1.53
512                     1.49
1024                    1.67
2048                    2.37
4096                    3.33
8192                    4.69
16384                   6.48
32768                   8.57
65536                  12.47
131072                 19.92
262144                 32.10
524288                 56.64
1048576                97.00
2097152               182.53
4194304               353.01
1                       1.01
2                       1.01
4                       1.02
8                       1.01
16                      1.01
32                      1.04
64                      1.15
128                     1.18
256                     1.53
512                     1.48
1024                    1.67
2048                    2.38
4096                    3.33
8192                    4.69
16384                   6.48
32768                   8.59
65536                  12.48
131072                 20.21
262144                 32.12
524288                 56.69
1048576                97.15
2097152               182.42
4194304               352.97
1                       1.01
2                       1.01
4                       1.01
8                       1.01
16                      1.01
32                      1.04
64                      1.15
128                     1.18
256                     1.53
512                     1.49
1024                    1.68
2048                    2.39
4096                    3.33
8192                    4.71
16384                   6.48
32768                   8.56
65536                  12.52
131072                 19.53
262144                 32.17
524288                 56.69
1048576                97.22
2097152               182.34
4194304               353.39
1                       1.01
2                       1.00
4                       1.00
8                       1.01
16                      1.01
32                      1.03
64                      1.15
128                     1.18
256                     1.52
512                     1.48
1024                    1.67
2048                    2.37
4096                    3.34
8192                    4.69
16384                   6.46
32768                   8.56
65536                  12.50
131072                 20.19
262144                 32.10
524288                 55.84
1048576                98.02
2097152               182.35
4194304               353.34
1                       1.01
2                       1.01
4                       1.01
8                       1.01
16                      1.01
32                      1.04
64                      1.15
128                     1.19
256                     1.51
512                     1.49
1024                    1.67
2048                    2.37
4096                    3.34
8192                    4.69
16384                   6.46
32768                   8.56
65536                  12.49
131072                 19.91
262144                 32.10
524288                 54.59
1048576                98.07
2097152               182.28
4194304               353.66
