Size          Latency (us)
1                       0.45
2                       0.44
4                       0.43
8                       0.42
16                      0.41
32                      0.57
64                      0.56
128                     1.00
256                     1.13
512                     1.25
1024                    1.47
2048                    2.01
4096                    2.82
8192                    4.38
16384                   7.12
32768                  12.19
65536                  22.24
131072                 43.29
262144                 18.47
524288                 30.97
1048576                63.25
2097152               154.54
4194304               320.52
