Size	Latency (us)	np	Algorithm
16	0.20	2	broadcast_flat
32	0.22	2	broadcast_flat
64	0.21	2	broadcast_flat
128	0.27	2	broadcast_flat
256	0.30	2	broadcast_flat
512	0.31	2	broadcast_flat
1024	0.42	2	broadcast_flat
2048	0.52	2	broadcast_flat
4096	0.83	2	broadcast_flat
8192	1.33	2	broadcast_flat
16384	3.14	2	broadcast_flat
32768	5.29	2	broadcast_flat
65536	6.83	2	broadcast_flat
131072	10.04	2	broadcast_flat
262144	16.20	2	broadcast_flat
524288	30.43	2	broadcast_flat
1048576	63.15	2	broadcast_flat
2097152	158.63	2	broadcast_flat
4194304	335.41	2	broadcast_flat
8	0.22	2	broadcast_chain
16	0.23	2	broadcast_chain
32	0.26	2	broadcast_chain
64	0.27	2	broadcast_chain
128	0.32	2	broadcast_chain
256	0.34	2	broadcast_chain
512	0.38	2	broadcast_chain
1024	0.44	2	broadcast_chain
2048	0.56	2	broadcast_chain
4096	0.86	2	broadcast_chain
8192	1.36	2	broadcast_chain
16384	3.04	2	broadcast_chain
32768	5.17	2	broadcast_chain
65536	6.79	2	broadcast_chain
131072	10.06	2	broadcast_chain
262144	16.14	2	broadcast_chain
524288	30.53	2	broadcast_chain
1048576	63.93	2	broadcast_chain
2097152	159.21	2	broadcast_chain
4194304	336.03	2	broadcast_chain
8	0.22	2	broadcast_binary_tree
16	0.22	2	broadcast_binary_tree
32	0.23	2	broadcast_binary_tree
64	0.22	2	broadcast_binary_tree
128	0.32	2	broadcast_binary_tree
256	0.33	2	broadcast_binary_tree
512	0.36	2	broadcast_binary_tree
1024	0.43	2	broadcast_binary_tree
2048	0.57	2	broadcast_binary_tree
4096	0.88	2	broadcast_binary_tree
8192	1.38	2	broadcast_binary_tree
16384	3.14	2	broadcast_binary_tree
32768	5.33	2	broadcast_binary_tree
65536	6.86	2	broadcast_binary_tree
131072	10.17	2	broadcast_binary_tree
262144	16.29	2	broadcast_binary_tree
524288	30.71	2	broadcast_binary_tree
1048576	61.96	2	broadcast_binary_tree
2097152	159.27	2	broadcast_binary_tree
4194304	334.77	2	broadcast_binary_tree
8	0.22	2	scatter_flat
16	0.20	2	scatter_flat
32	0.24	2	scatter_flat
64	0.23	2	scatter_flat
128	0.32	2	scatter_flat
256	0.33	2	scatter_flat
512	0.37	2	scatter_flat
1024	0.42	2	scatter_flat
2048	0.57	2	scatter_flat
4096	0.87	2	scatter_flat
8192	1.63	2	scatter_flat
16384	2.95	2	scatter_flat
32768	5.42	2	scatter_flat
65536	10.43	2	scatter_flat
131072	19.98	2	scatter_flat
262144	26.78	2	scatter_flat
524288	52.77	2	scatter_flat
1048576	118.29	2	scatter_flat
2097152	286.99	2	scatter_flat
4194304	693.69	2	scatter_flat
8	0.22	2	scatter_binomial
16	0.22	2	scatter_binomial
32	0.25	2	scatter_binomial
64	0.25	2	scatter_binomial
128	0.34	2	scatter_binomial
256	0.36	2	scatter_binomial
512	0.38	2	scatter_binomial
1024	0.43	2	scatter_binomial
2048	0.59	2	scatter_binomial
4096	0.89	2	scatter_binomial
8192	1.64	2	scatter_binomial
16384	3.00	2	scatter_binomial
32768	5.48	2	scatter_binomial
65536	10.39	2	scatter_binomial
131072	20.09	2	scatter_binomial
262144	26.72	2	scatter_binomial
524288	51.74	2	scatter_binomial
1048576	115.89	2	scatter_binomial
