Size	Latency (us)	np	Algorithm
1	0.19	2	broadcast_flat
1	0.21	2	broadcast_chain
1	0.21	2	broadcast_binary_tree
1	0.2	2	scatter_flat
1	0.21	2	scatter_basic_binomial
1	0.38	3	broadcast_flat
1	0.39	3	broadcast_chain
1	0.41	3	broadcast_binary_tree
1	0.41	3	scatter_flat
1	0.43	3	scatter_basic_binomial
1	0.39	3	scatter_nb
1	0.21	4	broadcast_flat
1	0.21	4	broadcast_chain
1	0.22	4	scatter_flat
1	0.38	4	scatter_basic_binomial
1	0.22	4	scatter_nb
1	0.66	5	broadcast_flat
1	0.27	5	broadcast_chain
1	0.85	5	broadcast_binary_tree
1	0.31	5	scatter_flat
1	0.38	5	scatter_basic_binomial
1	0.28	5	scatter_nb
1	0.35	6	broadcast_flat
1	0.36	6	broadcast_chain
1	0.51	6	broadcast_binary_tree
1	0.33	6	scatter_flat
1	0.48	6	scatter_basic_binomial
1	0.35	6	scatter_nb
1	0.38	7	broadcast_flat
1	0.46	7	broadcast_chain
1	0.56	7	broadcast_binary_tree
1	0.39	7	scatter_flat
1	0.38	7	scatter_nb
1	1.13	8	broadcast_flat
1	0.54	8	broadcast_chain
1	0.81	8	broadcast_binary_tree
1	0.69	8	scatter_flat
1	0.78	8	scatter_basic_binomial
1	1.41	8	scatter_nb
1	0.88	9	broadcast_flat
1	2.1	9	broadcast_chain
1	0.93	9	broadcast_binary_tree
1	0.94	9	scatter_flat
1	1.12	9	scatter_basic_binomial
1	1.3	9	scatter_nb
1	1.92	10	broadcast_chain
1	0.89	10	broadcast_binary_tree
1	1.18	10	scatter_flat
1	0.96	10	scatter_basic_binomial
1	1.02	10	scatter_nb
1	0.86	11	broadcast_flat
1	1.05	11	broadcast_chain
1	1.46	11	broadcast_binary_tree
1	0.88	11	scatter_flat
1	0.97	11	scatter_basic_binomial
1	0.75	11	scatter_nb
1	0.9	12	broadcast_flat
1	1.49	12	broadcast_chain
1	1.96	12	broadcast_binary_tree
1	0.93	12	scatter_flat
1	1.81	12	scatter_basic_binomial
1	0.87	12	scatter_nb
1	0.93	13	broadcast_flat
1	1.06	13	broadcast_chain
1	1.3	13	broadcast_binary_tree
1	0.95	13	scatter_flat
1	0.92	13	scatter_basic_binomial
1	0.99	13	scatter_nb
1	0.97	14	broadcast_flat
1	1.7	14	broadcast_chain
1	0.98	14	broadcast_binary_tree
1	1.05	14	scatter_flat
1	0.81	14	scatter_basic_binomial
1	1.87	14	scatter_nb
1	0.98	15	broadcast_flat
1	0.94	15	broadcast_chain
1	0.87	15	broadcast_binary_tree
1	1.07	15	scatter_flat
1	0.78	15	scatter_basic_binomial
1	1.05	15	scatter_nb
1	1.58	16	broadcast_flat
1	1.17	16	broadcast_chain
1	1.23	16	broadcast_binary_tree
1	1.71	16	scatter_flat
1	1.3	16	scatter_basic_binomial
1	1.61	16	scatter_nb
1	2.47	17	broadcast_flat
1	2.3	17	broadcast_chain
1	2.08	17	broadcast_binary_tree
1	2.48	17	scatter_flat
1	2.67	17	scatter_basic_binomial
1	2.43	17	scatter_nb
1	2.31	18	broadcast_flat
1	2.28	18	broadcast_chain
1	2.22	18	broadcast_binary_tree
1	2.26	18	scatter_flat
1	2.48	18	scatter_basic_binomial
1	2.21	18	scatter_nb
1	2.13	19	broadcast_flat
1	2.42	19	broadcast_chain
1	2.13	19	broadcast_binary_tree
1	2.38	19	scatter_flat
1	2.27	19	scatter_basic_binomial
1	3.86	19	scatter_nb
1	2.26	20	broadcast_flat
1	2.46	20	broadcast_chain
1	2.12	20	broadcast_binary_tree
1	2.36	20	scatter_flat
1	2.15	20	scatter_basic_binomial
1	2.38	21	broadcast_flat
1	2.24	21	broadcast_chain
1	2.21	21	broadcast_binary_tree
1	2.51	21	scatter_flat
1	2.42	21	scatter_basic_binomial
1	2.34	21	scatter_nb
1	2.42	22	broadcast_flat
1	2.26	22	broadcast_chain
1	2.25	22	broadcast_binary_tree
1	3.94	22	scatter_flat
1	2.02	22	scatter_basic_binomial
1	2.39	22	scatter_nb
1	2.48	23	broadcast_flat
1	2.29	23	broadcast_chain
1	2.02	23	broadcast_binary_tree
1	2.82	23	scatter_flat
1	2.77	23	scatter_basic_binomial
1	2.63	23	scatter_nb
1	2.61	24	broadcast_flat
1	2.45	24	broadcast_chain
1	2.01	24	broadcast_binary_tree
1	2.96	24	scatter_flat
1	1.92	24	scatter_basic_binomial
1	2.57	24	scatter_nb
1	2.56	25	broadcast_flat
1	2.22	25	broadcast_chain
1	1.91	25	broadcast_binary_tree
1	2.5	25	scatter_flat
1	2.01	25	scatter_basic_binomial
1	2.35	25	scatter_nb
1	2.65	26	broadcast_flat
1	2.12	26	broadcast_chain
1	1.85	26	broadcast_binary_tree
1	2.55	26	scatter_flat
1	1.73	26	scatter_basic_binomial
1	2.37	26	scatter_nb
1	2.84	27	broadcast_flat
1	2.1	27	broadcast_chain
1	1.87	27	broadcast_binary_tree
1	2.79	27	scatter_flat
1	1.81	27	scatter_basic_binomial
1	2.48	27	scatter_nb
1	2.89	28	broadcast_flat
1	2.33	28	broadcast_chain
1	1.99	28	broadcast_binary_tree
1	3.33	28	scatter_flat
1	1.64	28	scatter_basic_binomial
1	2.37	28	scatter_nb
1	2.69	29	broadcast_flat
1	2.2	29	broadcast_chain
1	1.91	29	broadcast_binary_tree
1	2.99	29	scatter_flat
1	1.63	29	scatter_basic_binomial
1	2.73	29	scatter_nb
1	2.72	30	broadcast_flat
1	2.15	30	broadcast_chain
1	1.91	30	broadcast_binary_tree
1	1.61	30	scatter_basic_binomial
1	2.74	30	scatter_nb
1	2.75	31	broadcast_flat
1	2.14	31	broadcast_chain
1	1.89	31	broadcast_binary_tree
1	3.4	31	scatter_flat
1	1.62	31	scatter_basic_binomial
1	2.76	31	scatter_nb
1	3.33	32	broadcast_flat
1	2.53	32	broadcast_chain
1	2.37	32	broadcast_binary_tree
1	3.59	32	scatter_flat
1	2.76	32	scatter_basic_binomial
1	3.3	32	scatter_nb
1	4.67	33	broadcast_flat
1	4.55	33	broadcast_chain
1	3.94	33	broadcast_binary_tree
1	5.51	33	scatter_flat
1	4.23	33	scatter_basic_binomial
1	5.19	33	scatter_nb
1	4.76	34	broadcast_flat
1	4.5	34	broadcast_chain
1	4.02	34	broadcast_binary_tree
1	5.11	34	scatter_flat
1	4.07	34	scatter_basic_binomial
1	5.0	34	scatter_nb
1	4.71	35	broadcast_flat
1	4.34	35	broadcast_chain
1	3.85	35	broadcast_binary_tree
1	5.18	35	scatter_flat
1	4.16	35	scatter_basic_binomial
1	4.85	35	scatter_nb
1	4.61	36	broadcast_flat
1	4.64	36	broadcast_chain
1	3.82	36	broadcast_binary_tree
1	4.9	36	scatter_flat
1	3.68	36	scatter_basic_binomial
1	4.86	36	scatter_nb
1	4.23	37	broadcast_flat
1	4.43	37	broadcast_chain
1	3.94	37	broadcast_binary_tree
1	4.46	37	scatter_flat
1	3.9	37	scatter_basic_binomial
1	4.28	37	scatter_nb
1	4.37	38	broadcast_flat
1	4.2	38	broadcast_chain
1	3.59	38	broadcast_binary_tree
1	4.42	38	scatter_flat
1	3.42	38	scatter_basic_binomial
1	4.63	38	scatter_nb
1	4.2	39	broadcast_flat
1	4.2	39	broadcast_chain
1	3.58	39	broadcast_binary_tree
1	4.37	39	scatter_flat
1	3.7	39	scatter_basic_binomial
