Size	Latency (us)	np	Algorithm
8	0.39	3	broadcast_flat
16	0.38	3	broadcast_flat
32	0.42	3	broadcast_flat
64	0.41	3	broadcast_flat
128	0.53	3	broadcast_flat
256	0.55	3	broadcast_flat
512	0.58	3	broadcast_flat
1024	0.76	3	broadcast_flat
2048	0.96	3	broadcast_flat
4096	1.45	3	broadcast_flat
8192	2.18	3	broadcast_flat
16384	4.7	3	broadcast_flat
32768	7.89	3	broadcast_flat
65536	11.8	3	broadcast_flat
131072	19.23	3	broadcast_flat
262144	33.78	3	broadcast_flat
524288	62.39	3	broadcast_flat
1048576	123.09	3	broadcast_flat
2097152	234.47	3	broadcast_flat
4194304	462.31	3	broadcast_flat
8	0.4	3	broadcast_chain
16	0.4	3	broadcast_chain
32	0.43	3	broadcast_chain
64	0.42	3	broadcast_chain
128	0.53	3	broadcast_chain
256	0.55	3	broadcast_chain
512	0.58	3	broadcast_chain
1024	0.77	3	broadcast_chain
2048	0.98	3	broadcast_chain
4096	1.47	3	broadcast_chain
8192	2.23	3	broadcast_chain
16384	4.66	3	broadcast_chain
32768	7.8	3	broadcast_chain
65536	11.66	3	broadcast_chain
131072	18.32	3	broadcast_chain
262144	31.39	3	broadcast_chain
524288	59.96	3	broadcast_chain
1048576	122.86	3	broadcast_chain
2097152	249.45	3	broadcast_chain
4194304	470.95	3	broadcast_chain
8	0.4	3	broadcast_binary_tree
16	0.39	3	broadcast_binary_tree
32	0.42	3	broadcast_binary_tree
64	0.42	3	broadcast_binary_tree
128	0.53	3	broadcast_binary_tree
256	0.56	3	broadcast_binary_tree
512	0.6	3	broadcast_binary_tree
1024	0.77	3	broadcast_binary_tree
2048	0.97	3	broadcast_binary_tree
4096	1.46	3	broadcast_binary_tree
8192	2.2	3	broadcast_binary_tree
16384	4.87	3	broadcast_binary_tree
32768	7.99	3	broadcast_binary_tree
65536	11.65	3	broadcast_binary_tree
131072	18.46	3	broadcast_binary_tree
262144	32.83	3	broadcast_binary_tree
524288	60.47	3	broadcast_binary_tree
1048576	124.77	3	broadcast_binary_tree
2097152	252.42	3	broadcast_binary_tree
4194304	485.36	3	broadcast_binary_tree
8	0.4	3	scatter_flat
16	0.4	3	scatter_flat
32	0.43	3	scatter_flat
64	0.43	3	scatter_flat
128	0.59	3	scatter_flat
256	0.59	3	scatter_flat
512	0.65	3	scatter_flat
1024	0.76	3	scatter_flat
2048	1.0	3	scatter_flat
4096	1.59	3	scatter_flat
8192	2.49	3	scatter_flat
16384	4.42	3	scatter_flat
32768	8.03	3	scatter_flat
65536	15.21	3	scatter_flat
131072	29.33	3	scatter_flat
262144	40.25	3	scatter_flat
524288	77.86	3	scatter_flat
1048576	171.74	3	scatter_flat
2097152	417.88	3	scatter_flat
4194304	1410.56	3	scatter_flat
8	0.43	3	scatter_binomial
16	0.43	3	scatter_binomial
32	0.48	3	scatter_binomial
64	0.47	3	scatter_binomial
128	0.65	3	scatter_binomial
256	0.67	3	scatter_binomial
512	0.73	3	scatter_binomial
1024	0.89	3	scatter_binomial
2048	1.13	3	scatter_binomial
4096	1.69	3	scatter_binomial
8192	2.63	3	scatter_binomial
16384	4.63	3	scatter_binomial
32768	8.49	3	scatter_binomial
65536	16.09	3	scatter_binomial
131072	32.1	3	scatter_binomial
262144	41.76	3	scatter_binomial
524288	85.12	3	scatter_binomial
1048576	245.92	3	scatter_binomial
2097152	566.32	3	scatter_binomial
4194304	1659.41	3	scatter_binomial
8	0.39	3	scatter_nb
16	0.39	3	scatter_nb
32	0.42	3	scatter_nb
64	0.42	3	scatter_nb
128	0.52	3	scatter_nb
256	0.55	3	scatter_nb
512	0.63	3	scatter_nb
1024	0.76	3	scatter_nb
2048	0.98	3	scatter_nb
4096	1.53	3	scatter_nb
8192	2.47	3	scatter_nb
16384	4.42	3	scatter_nb
32768	8.01	3	scatter_nb
65536	15.86	3	scatter_nb
131072	21.58	3	scatter_nb
262144	41.24	3	scatter_nb
524288	79.37	3	scatter_nb
1048576	171.71	3	scatter_nb
2097152	420.33	3	scatter_nb
4194304	1400.54	3	scatter_nb
8	0.33	6	broadcast_flat
16	0.35	6	broadcast_flat
32	0.5	6	broadcast_flat
64	0.44	6	broadcast_flat
128	0.69	6	broadcast_flat
256	0.76	6	broadcast_flat
512	0.79	6	broadcast_flat
1024	1.1	6	broadcast_flat
2048	1.52	6	broadcast_flat
4096	2.41	6	broadcast_flat
8192	3.68	6	broadcast_flat
16384	7.19	6	broadcast_flat
32768	12.05	6	broadcast_flat
65536	23.03	6	broadcast_flat
131072	44.18	6	broadcast_flat
262144	87.05	6	broadcast_flat
524288	174.37	6	broadcast_flat
1048576	332.99	6	broadcast_flat
2097152	615.24	6	broadcast_flat
4194304	1391.74	6	broadcast_flat
8	0.34	6	broadcast_chain
16	0.35	6	broadcast_chain
32	0.44	6	broadcast_chain
64	0.44	6	broadcast_chain
128	0.69	6	broadcast_chain
256	0.72	6	broadcast_chain
512	0.78	6	broadcast_chain
1024	1.05	6	broadcast_chain
2048	1.45	6	broadcast_chain
4096	2.25	6	broadcast_chain
8192	3.4	6	broadcast_chain
16384	7.58	6	broadcast_chain
32768	12.45	6	broadcast_chain
65536	22.92	6	broadcast_chain
131072	43.03	6	broadcast_chain
262144	83.58	6	broadcast_chain
524288	166.85	6	broadcast_chain
1048576	335.42	6	broadcast_chain
2097152	602.88	6	broadcast_chain
4194304	1362.96	6	broadcast_chain
8	0.51	6	broadcast_binary_tree
16	0.51	6	broadcast_binary_tree
32	0.6	6	broadcast_binary_tree
64	0.61	6	broadcast_binary_tree
128	0.83	6	broadcast_binary_tree
256	0.88	6	broadcast_binary_tree
512	0.95	6	broadcast_binary_tree
1024	1.22	6	broadcast_binary_tree
2048	1.68	6	broadcast_binary_tree
4096	2.42	6	broadcast_binary_tree
8192	3.78	6	broadcast_binary_tree
16384	9.97	6	broadcast_binary_tree
32768	15.26	6	broadcast_binary_tree
65536	25.22	6	broadcast_binary_tree
131072	45.11	6	broadcast_binary_tree
262144	84.38	6	broadcast_binary_tree
524288	154.81	6	broadcast_binary_tree
1048576	310.18	6	broadcast_binary_tree
2097152	582.5	6	broadcast_binary_tree
4194304	1696.94	6	broadcast_binary_tree
8	0.33	6	scatter_flat
16	0.33	6	scatter_flat
32	0.48	6	scatter_flat
64	0.42	6	scatter_flat
128	0.68	6	scatter_flat
256	0.75	6	scatter_flat
512	0.86	6	scatter_flat
1024	1.09	6	scatter_flat
2048	1.59	6	scatter_flat
4096	2.5	6	scatter_flat
8192	4.02	6	scatter_flat
16384	7.34	6	scatter_flat
32768	13.82	6	scatter_flat
65536	26.74	6	scatter_flat
131072	53.04	6	scatter_flat
262144	74.76	6	scatter_flat
