Size	Latency (ns)	np

1	6994	2

2	1491	2

4	2026	2

8	1488	2

16	2156	2

32	1486	2

64	1439	2

128	1489	2

1	1452	4

2	1499	4

4	1687	4

8	1466	4

16	1531	4

32	1404	4

64	1577	4

128	1514	4

1	1580	8

2	1792	8

4	1483	8

8	1457	8

16	1489	8

32	1506	8

64	1484	8

128	1517	8

1	5715	16

2	2445	16

4	5882	16

8	2393	16

16	6921	16

32	8039	16

64	1694	16

128	5777	16

1	19018	32

2	29489	32

4	48182	32

8	18981	32

16	9400	32

32	40561	32

64	37280	32

128	28523	32

1	49834	64

2	102603	64

4	93812	64

8	129157	64

16	99381	64

32	99082	64

64	58409	64

128	109006	64

1	2160417	128

2	197846	128

4	149218	128

8	148922	128

16	179900	128

32	162318	128

64	289558	128

128	178360	128

1	358812	256

2	469456	256

4	408791	256

8	199140	256

16	189017	256

32	378899	256

64	378442	256

128	358987	256

