Size	Latency (ns)	np

1	561801	2

2	223183	2

4	221911	2

8	223597	2

16	223857	2

32	222025	2

64	223512	2

128	222562	2

256	224357	2

512	222600	2

1024	223942	2

2048	222098	2

4096	224379	2

8192	225277	2

16384	223886	2

32768	224914	2

1	237884	4

2	237060	4

4	130621	4

8	131119	4

16	239626	4

32	156724	4

64	253343	4

128	236305	4

256	129958	4

512	130900	4

1024	152152	4

2048	244137	4

4096	230299	4

8192	145848	4

16384	237829	4

32768	130548	4

1	150243	8

2	170132	8

4	163117	8

8	160401	8

16	159324	8

32	162991	8

64	163785	8

128	150308	8

256	163332	8

512	157634	8

1024	152121	8

2048	150958	8

4096	151881	8

8192	149581	8

16384	150914	8

32768	157901	8

1	221680	16

2	12200076	16

4	12206196	16

8	12403069	16

16	223377	16

32	13100975	16

64	217639	16

128	12891791	16

256	12805431	16

512	12491166	16

1024	12506584	16

2048	12296159	16

4096	12895533	16

8192	12998781	16

16384	12497149	16

32768	12803075	16

