Size	Latency (ns)	np

1	1596	2

2	1436	2

4	1390	2

8	1386	2

16	1388	2

32	1386	2

64	1439	2

128	1386	2

256	1431	2

512	1379	2

1024	1472	2

2048	1387	2

4096	1400	2

8192	1412	2

16384	1538	2

32768	1382	2

1	1460	4

2	1483	4

4	1464	4

8	1434	4

16	1420	4

32	1412	4

64	1495	4

128	1560	4

256	1473	4

512	1442	4

1024	1479	4

2048	1540	4

4096	1395	4

8192	1461	4

16384	1417	4

32768	1459	4

1	1526	8

2	1516	8

4	1517	8

8	1582	8

16	1590	8

32	1501	8

64	1493	8

128	1426	8

256	1456	8

512	1523	8

1024	1557	8

2048	1503	8

4096	1507	8

8192	2150	8

16384	1577	8

32768	1482	8

1	2395	16

2	4139	16

4	8739	16

8	2469	16

16	6155	16

32	1758	16

64	15501	16

128	2376	16

256	6254	16

512	1817	16

1024	6142	16

2048	8480	16

4096	8739	16

8192	2367	16

16384	1586	16

32768	4617	16

