Size	Latency (ns)	np

1	4473029	2

2	2015165	2

4	2014557	2

8	2010307	2

16	1998231	2

32	2009138	2

64	1986408	2

128	2023329	2

256	1995327	2

512	1990872	2

1024	1990262	2

2048	2016873	2

4096	1998074	2

8192	2014350	2

16384	1999043	2

32768	2007039	2

65536	1986459	2

131072	2030396	2

262144	2004425	2

524288	2018235	2

1048576	2014631	2

1	1002672	3

2	1030833	3

4	1008894	3

8	1052777	3

16	1018833	3

32	1025377	3

64	1039067	3

128	1022106	3

256	1028364	3

512	1035643	3

1024	1001437	3

2048	1050868	3

4096	1051484	3

8192	1048144	3

16384	1018993	3

32768	1011439	3

65536	1010050	3

131072	1028093	3

262144	1020492	3

524288	1034495	3

1048576	1050359	3

1	1022587	4

2	1054885	4

4	1037311	4

8	1032884	4

16	1056538	4

32	1051231	4

64	1048241	4

128	1075611	4

256	1064621	4

512	1063250	4

1024	1065981	4

2048	1058362	4

4096	1051920	4

8192	1072282	4

16384	1070737	4

32768	1053659	4

65536	1034730	4

131072	1074123	4

262144	1034950	4

524288	1039175	4

1048576	1071511	4

1	1052997	5

2	1036627	5

4	1045518	5

8	1054554	5

16	1057225	5

32	1048386	5

64	1115465	5

128	1033816	5

256	1058394	5

512	1042433	5

1024	1037301	5

2048	1052926	5

4096	1047931	5

8192	1030181	5

16384	1101507	5

32768	1042179	5

65536	1057172	5

131072	1037785	5

262144	1053206	5

524288	1052856	5

1048576	1070905	5

1	1071987	6

2	1034049	6

4	1081541	6

8	1074183	6

16	1059707	6

32	1071774	6

64	1096737	6

128	1066002	6

256	1056942	6

512	1059994	6

1024	1063511	6

2048	1055288	6

4096	1077720	6

8192	1049483	6

16384	1054632	6

32768	1062807	6

65536	1129063	6

131072	1067965	6

262144	1059346	6

524288	1073256	6

1048576	1071341	6

1	1097734	7

2	1093294	7

4	1129849	7

8	1102658	7

16	1102821	7

32	1106465	7

64	1103192	7

128	1102380	7

256	1069626	7

512	1072968	7

1024	1083629	7

2048	1089015	7

4096	1119475	7

8192	1065993	7

16384	1109955	7

32768	1102494	7

65536	1087117	7

131072	1103932	7

262144	1082655	7

524288	1087425	7

1048576	1076631	7

1	1129340	8

2	1087405	8

4	1115225	8

8	1116584	8

16	1097635	8

32	1112377	8

64	1120865	8

128	1099666	8

256	1141116	8

512	1114244	8

1024	1125111	8

2048	1117638	8

4096	1110700	8

8192	1130078	8

16384	1121171	8

32768	1124619	8

65536	1110398	8

131072	1133637	8

262144	1092913	8

524288	1112880	8

1048576	1133390	8

1	1160212	9

2	1181263	9

4	1141954	9

8	1144657	9

16	1130818	9

32	1136154	9

64	1148194	9

128	1150227	9

256	1140416	9

512	1125999	9

1024	1142847	9

2048	1126037	9

4096	1138122	9

8192	1145856	9

16384	1141458	9

32768	1126079	9

65536	1158262	9

131072	1165779	9

262144	1169128	9

524288	1150743	9

1048576	1142850	9

1	1172311	10

2	1165567	10

4	1168819	10

8	1149075	10

16	1158709	10

32	1161335	10

64	1189131	10

128	1150010	10

256	1175147	10

512	1170586	10

1024	1165697	10

2048	1146561	10

4096	1156236	10

8192	1176102	10

16384	1133173	10

32768	1196447	10

65536	1185615	10

131072	1169102	10

262144	1186696	10

524288	1163965	10

1048576	1175396	10

1	1193510	11

2	1182981	11

4	1188209	11

8	1183896	11

16	1192140	11

32	1177682	11

64	1183993	11

128	1171907	11

256	1185945	11

512	1199809	11

1024	1197407	11

2048	1187654	11

4096	1187725	11

8192	1183545	11

16384	1182760	11

32768	1193608	11

65536	1204785	11

131072	1191453	11

262144	1196378	11

524288	1191329	11

1048576	1202770	11

1	1222828	12

2	1230061	12

4	1196689	12

8	1210214	12

16	1208281	12

32	1222366	12

64	1261862	12

128	1233036	12

256	1220562	12

512	1202309	12

1024	1260676	12

2048	1220774	12

4096	1204777	12

8192	1255324	12

16384	1203156	12

32768	1198891	12

65536	1203711	12

131072	1212444	12

262144	1206016	12

524288	1217180	12

1048576	1204283	12

1	1265151	13

2	1260013	13

4	1239317	13

8	1345809	13

16	1253660	13

32	1269784	13

64	1256236	13

128	1231636	13

256	1235068	13

512	1248896	13

1024	1242786	13

2048	1270062	13

4096	1238946	13

8192	1252802	13

16384	1234162	13

32768	1247414	13

65536	1239050	13

131072	1261870	13

262144	1252550	13

524288	1271933	13

1048576	1238622	13

1	1281892	14

2	1278433	14

4	1256012	14

8	1251064	14

16	1251358	14

32	1279418	14

64	1275509	14

128	1238058	14

256	1270743	14

512	1267340	14

1024	1274485	14

2048	1250676	14

4096	1287024	14

