Size	Latency (ns)	np

1	2882496	2

2	2540239	2

4	2603822	2

8	2597955	2

16	2578711	2

32	2567770	2

64	2625151	2

128	2564797	2

256	2577144	2

512	2536484	2

1024	2602263	2

2048	2588486	2

4096	2626595	2

8192	2625133	2

16384	2574191	2

32768	2658702	2

65536	2522942	2

131072	2535735	2

262144	2572398	2

524288	2685248	2

1048576	2571767	2

1	1734942	3

2	1656618	3

4	1776252	3

8	1719488	3

16	1784219	3

32	1703621	3

64	1779738	3

128	1745210	3

256	1725616	3

512	1806280	3

1024	1756107	3

2048	1719419	3

4096	1829400	3

8192	1678348	3

16384	1816165	3

32768	1734971	3

65536	1731217	3

131072	1757431	3

262144	1847954	3

524288	1777067	3

1048576	1725755	3

1	1635263	4

2	1658366	4

4	1816057	4

8	1668395	4

16	1710268	4

32	1758756	4

64	1816717	4

128	1695924	4

256	1664182	4

512	1810501	4

1024	1750205	4

2048	1735881	4

4096	1617820	4

8192	1688027	4

16384	1674937	4

32768	1723155	4

65536	1800090	4

131072	1752962	4

262144	1791722	4

524288	1815663	4

1048576	1732590	4

1	1618087	5

2	1742401	5

4	1702392	5

8	1698369	5

16	1678189	5

32	1629686	5

64	1784767	5

128	1781799	5

256	1719963	5

512	1704590	5

1024	1645868	5

2048	1752599	5

4096	1731713	5

8192	1712660	5

16384	1689377	5

32768	1690315	5

65536	1772461	5

131072	1763177	5

262144	1820117	5

524288	1732308	5

1048576	1874557	5

1	1693353	6

2	1825808	6

4	1710556	6

8	1749736	6

16	1753255	6

32	1616466	6

64	1867047	6

128	1558981	6

256	1732219	6

512	1668391	6

1024	1686910	6

2048	1701501	6

4096	1829207	6

8192	1705663	6

16384	1676414	6

32768	1831988	6

65536	1768476	6

131072	1749442	6

262144	1694884	6

524288	1735340	6

1048576	1690089	6

1	1713594	7

2	1797481	7

4	1777399	7

8	1708853	7

16	1733695	7

