Size	Latency (ns)	np

1	219353	2

2	15556	2

4	13002	2

8	12582	2

16	12604	2

32	12591	2

64	12016	2

128	12263	2

256	12575	2

512	12464	2

1024	12508	2

2048	11972	2

4096	12371	2

8192	12054	2

16384	12508	2

32768	12717	2

65536	12350	2

131072	12648	2

262144	13179	2

524288	14568	2

1048576	15352	2

1	12700	3

2	12439	3

4	12369	3

8	12263	3

16	12418	3

32	12573	3

64	12901	3

128	12334	3

256	13349	3

512	12457	3

1024	12438	3

2048	12225	3

4096	11731	3

8192	12093	3

16384	12415	3

32768	12318	3

65536	12554	3

131072	12302	3

262144	13022	3

524288	13894	3

1048576	15296	3

1	13324	4

2	12334	4

4	12436	4

8	12488	4

16	12868	4

32	12325	4

64	11882	4

128	12333	4

256	12260	4

512	12269	4

1024	12482	4

2048	12055	4

4096	12471	4

8192	12783	4

16384	12586	4

32768	12186	4

65536	12695	4

131072	12598	4

262144	12691	4

524288	13930	4

1048576	16165	4

1	13917	5

2	12761	5

4	14852	5

8	14695	5

16	13511	5

32	13148	5

64	14735	5

128	12811	5

256	13217	5

512	13927	5

1024	12713	5

2048	13543	5

4096	14150	5

8192	14991	5

16384	12927	5

32768	15281	5

65536	15665	5

131072	14036	5

262144	13485	5

524288	15021	5

1048576	16340	5

1	13194	6

2	14696	6

4	13443	6

8	12796	6

16	13839	6

32	15384	6

64	12852	6

128	12763	6

256	12556	6

512	14704	6

1024	15800	6

2048	14457	6

4096	14617	6

8192	13245	6

16384	15295	6

32768	15608	6

65536	15204	6

131072	15345	6

262144	14204	6

524288	14626	6

1048576	16202	6

1	13372	7

2	13777	7

4	15192	7

8	13055	7

16	12935	7

32	12761	7

64	12652	7

128	12798	7

256	13040	7

512	12807	7

1024	12991	7

2048	12873	7

4096	12989	7

8192	12946	7

16384	13178	7

32768	15221	7

65536	13525	7

131072	13356	7

262144	13457	7

524288	14010	7

1048576	15704	7

1	15823	8

2	13231	8

4	13369	8

8	13177	8

16	13031	8

32	13334	8

64	13521	8

128	13008	8

256	12890	8

512	12485	8

1024	12832	8

2048	14638	8

4096	13197	8

8192	13105	8

16384	13150	8

32768	12850	8

65536	13006	8

131072	13408	8

262144	13417	8

524288	14946	8

1048576	18112	8

1	12239	9

2	12246	9

4	15796	9

8	12077	9

16	14791	9

32	13797	9

64	13564	9

128	15224	9

256	13746	9

512	13933	9

1024	13075	9

2048	13486	9

4096	17067	9

8192	13592	9

16384	13096	9

32768	14778	9

65536	14634	9

131072	14017	9

262144	14147	9

524288	14444	9

1048576	15989	9

1	14196	10

2	12405	10

4	13008	10

8	12980	10

16	13384	10

32	15698	10

64	13300	10

128	15453	10

256	14429	10

512	12002	10

1024	11741	10

2048	13713	10

4096	17594	10

8192	12164	10

16384	12657	10

32768	13978	10

65536	15078	10

131072	14401	10

262144	15963	10

524288	15111	10

1048576	14364	10

1	14134	11

2	13753	11

4	12258	11

8	13263	11

16	12210	11

32	11992	11

64	12502	11

128	12664	11

256	11973	11

512	12095	11

1024	11394	11

2048	13419	11

4096	12161	11

8192	11915	11

16384	11809	11

32768	11963	11

65536	12291	11

131072	12636	11

262144	12979	11

524288	13642	11

1048576	16523	11

1	12975	12

2	12953	12

4	13190	12

8	12806	12

16	13009	12

32	12854	12

64	13120	12

128	13127	12

256	13062	12

512	12889	12

1024	13058	12

2048	13258	12

4096	13051	12

8192	13497	12

16384	13233	12

32768	13358	12

65536	13361	12

131072	13519	12

262144	13486	12

524288	14455	12

1048576	17307	12

1	13008	13

2	13104	13

4	13556	13

8	13332	13

16	17099	13

32	13273	13

64	13326	13

128	12650	13

256	12824	13

512	12741	13

1024	13054	13

2048	13679	13

4096	13278	13

8192	13084	13

16384	14824	13

32768	13055	13

65536	12891	13

131072	12941	13

262144	13475	13

524288	14140	13

1048576	15449	13

1	13404	14

2	13348	14

4	12828	14

8	13078	14

16	13047	14

32	12447	14

64	12923	14

128	13239	14

256	13554	14

512	13355	14

1024	13537	14

2048	13362	14

4096	13249	14

8192	12846	14

16384	13084	14

32768	13136	14

65536	13359	14

131072	13313	14

262144	13903	14

524288	15181	14

1048576	16460	14

1	15121	15

2	14598	15

4	13586	15

8	13443	15

16	13736	15

32	14087	15

64	13415	15

128	13404	15

256	13593	15

512	13570	15

1024	13207	15

2048	12885	15

4096	13088	15

8192	13323	15

16384	12963	15

32768	13963	15

65536	13715	15

131072	14010	15

262144	13765	15

524288	14765	15

1048576	17286	15

1	14628	16

2	13677	16

4	14361	16

8	13448	16

16	13318	16

32	14147	16

64	13208	16

128	13629	16

256	13497	16

512	12800	16

1024	17019	16

2048	13917	16

4096	14435	16

8192	14131	16

16384	14792	16

32768	14348	16

65536	15062	16

131072	14100	16

262144	12592	16

524288	13476	16

1048576	15256	16

1	19393	17

2	10997	17

4	12477	17

8	13851	17

16	12684	17

32	12002	17

64	13518	17

128	12108	17

256	13256	17

512	12387	17

1024	10996	17

2048	11246	17

4096	11868	17

8192	12918	17

16384	12584	17

32768	12621	17

65536	12507	17

131072	14293	17

262144	12379	17

524288	12416	17

1048576	13409	17

1	14708	18

2	19704	18

4	18683	18

8	15143	18

16	13654	18

32	12338	18

64	21273	18

128	11125	18

256	11742	18

512	14274	18

1024	21836	18

2048	13962	18

4096	14320	18

8192	15592	18

16384	11981	18

32768	17031	18

65536	16102	18

131072	22010	18

262144	13508	18

524288	14382	18

1048576	15236	18

1	11017	19

2	11185	19

4	15186	19

8	12834	19

16	20575	19

32	18677	19

64	11966	19

128	12094	19

256	17141	19

512	11410	19

1024	20300	19

2048	19135	19

4096	11676	19

8192	12155	19

16384	14531	19

32768	16686	19

65536	12972	19

131072	11789	19

262144	23801	19

524288	13377	19

1048576	14001	19

1	19508	20

2	15727	20

4	12101	20

8	11941	20

16	19939	20

32	12085	20

64	20772	20

128	15213	20

256	11538	20

512	11770	20

1024	12645	20

2048	11808	20

4096	11329	20

8192	11735	20

16384	13889	20

32768	16093	20

65536	18791	20

131072	13732	20

262144	16848	20

524288	19759	20

1048576	13520	20

1	11362	21

2	19312	21

4	12330	21

8	19906	21

16	19572	21

32	11618	21

64	12256	21

128	19558	21

256	11422	21

512	18952	21

1024	13122	21

2048	19502	21

4096	19291	21

8192	12550	21

16384	13063	21

32768	13933	21

65536	15086	21

131072	11736	21

262144	12239	21

524288	19870	21

1048576	19637	21

1	19576	22

2	13676	22

4	17485	22

8	19146	22

16	14750	22

32	11734	22

64	20298	22

128	20001	22

256	20001	22

512	11920	22

1024	20090	22

2048	17199	22

4096	15422	22

8192	19798	22

16384	20446	22

32768	19863	22

65536	12844	22

131072	27327	22

262144	12711	22

524288	24274	22

1048576	22073	22

1	21886	23

2	14499	23

4	20833	23

8	11529	23

16	19434	23

32	15676	23

64	20128	23

128	19632	23

256	20199	23

512	19611	23

1024	19997	23

2048	19251	23

4096	17031	23

8192	19760	23

16384	19751	23

32768	23804	23

65536	23330	23

131072	18463	23

262144	22640	23

524288	22956	23

1048576	22666	23

1	21222	24

2	14174	24

4	20491	24

8	20838	24

16	25608	24

32	15513	24

64	20556	24

128	20138	24

256	24466	24

512	23251	24

1024	22509	24

2048	13056	24

4096	14206	24

8192	22322	24

16384	11985	24

32768	21695	24

65536	21321	24

131072	21107	24

262144	12580	24

524288	19636	24

1048576	20115	24

