Size	Latency (ns)	np

1	2346029	2

2	2428072	2

4	2535609	2

8	2311796	2

16	2515492	2

32	2528987	2

64	2512478	2

128	2516530	2

256	2499371	2

512	2365323	2

1024	2498162	2

2048	2511718	2

4096	2512710	2

8192	2552879	2

16384	2449631	2

32768	2526181	2

1	1409103	4

2	1455187	4

4	1424514	4

8	1438681	4

16	1420044	4

32	1435361	4

64	1417247	4

128	1342868	4

256	1460773	4

512	1474532	4

1024	1390739	4

2048	1471187	4

4096	1438421	4

8192	1420263	4

16384	1465386	4

32768	1446701	4

1	1514486	8

2	121627611	8

4	1529545	8

8	1588001	8

16	1627119	8

32	127633933	8

64	1588972	8

128	130580704	8

256	122720116	8

512	121654260	8

1024	130034050	8

2048	2239387	8

4096	1520182	8

8192	124708946	8

16384	122654729	8

32768	1777248	8

1	1874457	16

2	123011444	16

4	131088690	16

8	125072990	16

16	2131591	16

32	131080022	16

64	127009690	16

128	121976178	16

256	130952988	16

512	2214413	16

1024	1999385	16

2048	2110262	16

4096	2145760	16

8192	125994910	16

16384	127935847	16

32768	68067896	16

