Size	Latency (ns)	np

1	2801703	2

2	1242467	2

4	1244786	2

8	1241939	2

16	1239411	2

32	1244987	2

64	1242003	2

128	1317719	2

256	1241023	2

512	1242272	2

1024	1235567	2

2048	1249944	2

4096	1245795	2

8192	1250258	2

16384	1289649	2

32768	1285551	2

65536	1265124	2

131072	1285835	2

262144	1356818	2

524288	1470968	2

1048576	1631925	2

1	463558	3

2	365577	3

4	348351	3

8	369173	3

16	338858	3

32	359001	3

64	359936	3

128	343169	3

256	377853	3

512	359890	3

1024	354701	3

2048	360782	3

4096	356648	3

8192	369503	3

16384	368805	3

32768	359759	3

65536	379860	3

131072	401312	3

262144	436818	3

524288	584225	3

1048576	793569	3

1	355448	4

2	373283	4

4	340475	4

8	378600	4

16	354801	4

32	372310	4

64	358059	4

128	365867	4

256	380352	4

512	385633	4

1024	369861	4

2048	385203	4

4096	361869	4

8192	399937	4

16384	389453	4

32768	381204	4

65536	426515	4

131072	436519	4

262144	458407	4

524288	630880	4

1048576	829989	4

1	394704	5

2	391732	5

4	378250	5

8	354422	5

16	393922	5

32	377412	5

64	404791	5

128	369410	5

256	375047	5

512	344122	5

1024	387634	5

2048	347693	5

4096	402734	5

8192	365040	5

16384	367487	5

32768	387803	5

65536	429007	5

131072	442099	5

262144	515498	5

524288	625310	5

1048576	876530	5

1	373788	6

2	397109	6

4	356627	6

8	403721	6

16	391489	6

32	395620	6

64	392368	6

128	376015	6

256	401279	6

512	399456	6

1024	349897	6

2048	425354	6

4096	381159	6

8192	401295	6

16384	405052	6

32768	406237	6

65536	406083	6

131072	440773	6

262144	494840	6

524288	738807	6

1048576	947419	6

1	384755	7

2	395705	7

4	363283	7

8	398547	7

16	365301	7

32	380391	7

64	377857	7

128	527914	7

256	396592	7

512	370683	7

1024	361580	7

2048	385495	7

4096	371481	7

8192	411762	7

16384	366264	7

32768	408928	7

65536	394841	7

131072	415767	7

262144	547639	7

524288	663169	7

1048576	962644	7

1	410024	8

2	357510	8

4	391685	8

8	407999	8

16	365795	8

32	395652	8

64	446916	8

128	378392	8

256	385692	8

512	379404	8

1024	377849	8

2048	366755	8

4096	394722	8

8192	347228	8

16384	403199	8

32768	376639	8

65536	412650	8

131072	427832	8

262144	521569	8

524288	691145	8

1048576	1090809	8

1	356211	9

2	385629	9

4	384284	9

8	385090	9

16	380869	9

32	352972	9

64	414041	9

128	355250	9

256	395498	9

512	383287	9

1024	388068	9

2048	404300	9

4096	378688	9

8192	431155	9

16384	412300	9

32768	466816	9

65536	430355	9

131072	568465	9

262144	606014	9

524288	701525	9

1048576	1091698	9

1	342153	10

2	397700	10

4	442535	10

8	404774	10

16	398498	10

32	422579	10

64	410148	10

128	413443	10

256	395934	10

512	422065	10

1024	428962	10

2048	380983	10

4096	402232	10

8192	370723	10

16384	409248	10

32768	428696	10

65536	420422	10

131072	542977	10

262144	478847	10

524288	663782	10

1048576	1304429	10

1	419450	11

2	390612	11

4	398706	11

8	395224	11

16	400502	11

32	353446	11

64	368375	11

128	403996	11

256	429543	11

512	392780	11

1024	393413	11

2048	390522	11

4096	445559	11

8192	387306	11

16384	403296	11

32768	448715	11

65536	429623	11

131072	404756	11

262144	593055	11

524288	663319	11

1048576	1277564	11

1	439544	12

2	469205	12

4	453502	12

8	466307	12

16	462329	12

32	402776	12

64	406913	12

128	427846	12

256	392881	12

512	419104	12

1024	392569	12

2048	403447	12

4096	407303	12

8192	431812	12

16384	453161	12

32768	445075	12

65536	469963	12

131072	408203	12

262144	685964	12

524288	593472	12

1048576	1095832	12

1	431893	13

2	443400	13

4	465075	13

8	439815	13

16	430606	13

32	422242	13

64	442632	13

128	421472	13

256	445086	13

512	424761	13

1024	562380	13

2048	433933	13

4096	452684	13

8192	444196	13

16384	467605	13

32768	398086	13

65536	469518	13

131072	498755	13

262144	518539	13

524288	936603	13

1048576	913607	13

1	247279	14

2	461057	14

4	415164	14

8	460363	14

16	465538	14

32	418519	14

64	459341	14

128	472032	14

256	486570	14

512	480300	14

1024	425560	14

2048	423177	14

4096	438908	14

8192	415864	14

16384	484929	14

32768	407008	14

65536	442993	14

131072	482438	14

262144	798693	14

524288	549254	14

1048576	316775	14

1	435195	15

2	511837	15

4	506826	15

8	499075	15

16	511116	15

32	504128	15

64	409345	15

128	395626	15

256	448287	15

512	490470	15

1024	409256	15

2048	438495	15

4096	509764	15

8192	461200	15

16384	488413	15

32768	400700	15

65536	534576	15

131072	484291	15

262144	730232	15

524288	973944	15

1048576	1234428	15

1	529832	16

2	518081	16

4	422243	16

8	477927	16

16	452586	16

32	506775	16

64	428453	16

128	484732	16

256	429285	16

512	447647	16

1024	591355	16

2048	398743	16

4096	444867	16

8192	505306	16

16384	395926	16

32768	496830	16

65536	471533	16

131072	606633	16

262144	659940	16

524288	977953	16

1048576	1541375	16

1	401149	17

2	445464	17

4	433703	17

8	424026	17

16	407797	17

32	430635	17

64	493972	17

128	491098	17

256	489143	17

512	416617	17

1024	511024	17

2048	366782	17

4096	467446	17

8192	522365	17

16384	537677	17

32768	452972	17

65536	512827	17

131072	523858	17

262144	824370	17

524288	684076	17

1048576	222451	17

1	477072	18

2	475064	18

4	498681	18

8	445985	18

16	453774	18

32	400307	18

64	431130	18

128	422957	18

256	454530	18

512	497326	18

1024	501316	18

2048	436379	18

4096	433883	18

8192	450630	18

16384	494958	18

32768	466322	18

65536	492715	18

131072	575241	18

262144	545776	18

524288	203600	18

1048576	735728	18

1	245476	19

2	197801	19

4	276101	19

8	240978	19

16	399955	19

32	272448	19

64	375633	19

128	501752	19

256	306700	19

512	567642	19

1024	458030	19

2048	425671	19

4096	297438	19

8192	361935	19

16384	274166	19

32768	426049	19

65536	278179	19

131072	170742	19

262144	367885	19

524288	350771	19

1048576	350680	19

1	261857	20

2	541945	20

4	303950	20

8	438128	20

16	250138	20

32	547895	20

64	236033	20

128	473744	20

256	289627	20

512	254952	20

1024	160065	20

2048	325187	20

4096	176592	20

8192	329302	20

16384	259316	20

32768	280778	20

65536	281552	20

131072	197766	20

262144	258632	20

524288	361895	20

1048576	387714	20

1	267993	21

2	392871	21

4	316629	21

8	289926	21

16	272964	21

32	335798	21

64	275961	21

128	281480	21

256	209173	21

512	180887	21

1024	183627	21

2048	192964	21

4096	157577	21

8192	175963	21

16384	170163	21

32768	145161	21

65536	170975	21

131072	170627	21

262144	174246	21

524288	224208	21

1048576	220756	21

1	575030	22

2	297675	22

4	327492	22

8	266700	22

16	337937	22

32	300755	22

64	283485	22

128	267961	22

256	294749	22

512	279551	22

1024	313762	22

2048	261195	22

4096	268347	22

8192	424164	22

16384	255790	22

32768	269288	22

65536	241212	22

131072	234066	22

262144	229721	22

524288	645273	22

1048576	390620	22

1	314037	23

2	293743	23

4	321353	23

8	220431	23

16	253211	23

32	334747	23

64	326229	23

128	437646	23

256	286691	23

512	303448	23

1024	343651	23

2048	330323	23

4096	286955	23

8192	322197	23

16384	360120	23

32768	294644	23

65536	268393	23

131072	303369	23

262144	310299	23

524288	369592	23

1048576	441937	23

1	359923	24

2	291126	24

4	299851	24

8	296020	24

16	281850	24

32	329211	24

64	272206	24

128	283751	24

256	329115	24

512	304412	24

1024	350487	24

2048	241843	24

4096	287603	24

8192	303700	24

16384	301259	24

32768	290647	24

65536	228322	24

131072	283718	24

262144	320032	24

524288	330876	24

1048576	229848	24

