Size	Latency (ns)	np

1	275810	2

2	270545	2

4	272144	2

8	271497	2

1	275895	3

2	275984	3

4	276455	3

8	276252	3

1	282137	4

2	281290	4

4	282561	4

8	282325	4

1	287111	5

2	287607	5

4	286877	5

8	286346	5

1	291517	6

2	290464	6

4	291596	6

8	291473	6

1	295832	7

2	296987	7

4	295896	7

8	296947	7

1	304128	8

2	301114	8

4	301956	8

8	304317	8

1	306521	9

2	306452	9

4	306518	9

8	307016	9

1	311936	10

2	311669	10

4	311609	10

8	311290	10

1	315664	11

2	315573	11

4	316084	11

8	320574	11

1	320728	12

2	320741	12

4	320524	12

8	320057	12

1	325140	13

2	325347	13

4	324569	13

8	324787	13

1	326778	14

2	327433	14

4	327709	14

8	327114	14

1	330060	15

2	331135	15

4	330183	15

8	329996	15

1	332064	16

2	332781	16

4	331739	16

8	332228	16

1	334970	17

2	334316	17

4	335485	17

8	334441	17

1	337221	18

2	336223	18

4	336743	18

8	336554	18

1	339411	19

2	340342	19

4	339301	19

8	339626	19

1	341901	20

2	341560	20

4	342020	20

8	341109	20

1	343169	21

2	343343	21

4	342967	21

8	343369	21

1	346722	22

2	346932	22

4	346016	22

8	345809	22

1	347544	23

2	347239	23

4	349750	23

8	348839	23

1	351168	24

2	350891	24

4	351733	24

8	349850	24

